"Data Source","World Development Indicators",

"Last Updated Date","2017-02-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155.984880302394","171.319796954315","175.344129554656","168.781911013858","163.267359946327","164.591203738233","145.072879516204","139.021956378172","134.33499493461","133.960084352967","133.653243477694","146.481006590773","143.464899733299","142.363306909232","141.187287523436","140.062909532337","136.31879090553","157.208415564428","","","","","",
"Andorra","AND","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Trade (% of GDP)","NE.TRD.GNFS.ZS","11.157026581176","12.5506095641626","14.2276444262674","26.0355114281704","26.9444479475307","32.6710826152849","27.1428573129252","20.9827354616946","24.110033071763","25.0788642331499","21.7281100678648","27.0631374536424","32.8690810352185","27.6923087928995","28.8659801551706","26.9483576711852","28.0869566604915","26.4860798295929","24.7138040330125","","","","","","","","","","","","","","","","","","","","","","","","97.6744227499797","137.901039454029","121.13581870045","104.862400564151","100.555349411331","76.1737610946716","73.0655202440326","56.9068174248469","54.9673280956043","50.3012220744035","44.659247762082","56.0656699448102","52.8735636084187","56.9791153844575","",
"Angola","AGO","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","66.6666666666667","66.6666666666667","50","142.307692307692","109.293680297398","161.206062560464","","152.110071538601","137.673744209478","129.867499498373","178.993785452216","152.455652525852","150.335506425828","124.959927354544","130.453671646585","124.39518193298","139.657431958794","118.77452143654","117.473814381941","127.544978249456","110.316372152438","105.337706857679","107.515671110862","102.052830931647","95.0689515025339","90.2102239595984","70.0699454391001","",
"Albania","ALB","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","45.8250749506054","44.497605577662","43.2525386847195","39.00562196255","36.7904298195613","34.685406148026","30.5250142005462","31.0288080231291","35.600305738476","38.6585297289146","38.0657831094828","34.8163862743792","100.002686541879","77.7150689060593","50.3020121386065","46.9874219923069","43.2202029493193","43.9356497363814","45.4813408338561","48.0297480000861","55.9204287258909","57.4303612455343","63.9342407395705","65.4406219448195","66.3578254365494","70.2953012030648","73.4550491645428","82.8724226308549","86.0273722731727","83.3595626194684","85.4645603406071","90.7628634807155","85.3385104513109","88.9296107253049","75.455705589104","72.0931273266492","",
"Arab World","ARB","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","59.1729868769108","59.4509013565247","62.3593465566842","81.2108907280433","74.7067689483784","82.8591205198454","77.6047248453577","79.3585123657796","78.4769541224683","81.316668026071","84.7993227631216","87.4451483076177","82.6387652954817","75.0405780063345","71.732956112736","64.8090700973969","57.2113357801254","58.9161516505299","60.628081377046","65.9003616940641","65.6375646275591","68.9326292866176","64.073674610449","60.5262483904016","58.7694149325038","61.9649268649119","61.9925916565731","68.545535052392","66.5531060030389","66.4920465311329","70.9032642632792","72.4561619272748","73.8115171343279","80.0090365676894","84.9932259102422","89.0686728935269","89.6447593949128","93.4466100006662","97.8495529911409","89.7255644977912","89.4214035406514","92.9946605199607","94.6870392633857","92.4317517974743","90.6835343545686","88.9454520607426","",
"United Arab Emirates","ARE","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.8645799289427","93.0716588147781","102.300169490783","116.622673310185","119.55312400123","119.476414886157","136.798152865771","148.513544025723","153.461944358373","151.000433904214","162.626234216328","175.959528345981","176.418162911806","173.355344938426","180.47478037198","",
"Argentina","ARG","Trade (% of GDP)","NE.TRD.GNFS.ZS","15.2080960873797","11.9898923109727","14.0755256495637","15.7809062353749","11.1274296795488","10.3764574099485","11.6426054171411","12.492660372918","11.8881648852942","12.7974266330598","10.3374440809233","12.6151889155439","14.0356431972715","13.3221685115576","13.1915798576321","11.8027242947756","15.0968846246649","16.9422865680472","14.3237963724531","12.8406846410014","11.5456724604615","14.2929774789475","15.6114860999886","14.9876701068591","12.3463814292217","18.009425070688","14.4860327921395","15.448969882952","15.743458608705","19.6377977018838","14.9908589999441","13.7530541588892","14.730980586353","16.2231515323488","18.1342254505904","19.771500987766","21.506358172293","23.336144697619","23.349944346555","21.3826567862219","22.6225023420697","21.8524228521558","41.7527512956683","40.6446897458032","40.6926461228834","40.4126651734871","40.256149707113","40.7604829433907","40.2269429032842","33.9029876483442","34.7830968026133","35.0056271595106","30.3622409032088","29.2210790525197","28.2283004904424","22.9318216622414","",
"Armenia","ARM","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.3357185450209","100.865855188857","101.076754191856","107.973148586214","112.428831004081","86.1148549616175","79.2295615858029","78.5477445206124","71.8424531373195","70.5604195074133","73.9185677483324","71.6171966314838","75.9434195954309","82.1876465514541","75.0372101843166","72.0389254730378","62.6091930629355","58.3364583828817","55.7028621156341","58.4788698681044","66.1472866893029","71.1108651220388","75.9667433930304","76.5561957927212","75.6116848388122","71.757508660916","",
"American Samoa","ASM","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
